id,utctime,eye,energy,denergy,xmax,dxmax,theta,dtheta,phi,dphi
PAO100815,1281849423,1,86.0,8.1,767.1,31.9,53.7,0.7,100.4,0.4
PAO100815,1281849423,2,79.9,6.9,768.7,21.0,53.9,0.5,101.0,0.4
PAO100815,1281849423,3,91.5,9.0,753.4,12.5,52.3,0.3,100.6,0.8
PAO100815,1281849423,4,87.7,8.1,771.1,13.5,52.8,0.3,101.1,0.5
PAO140131,1391138994,3,73.3,8.4,847.0,52.9,61.6,0.8,336.7,0.7
PAO090322,1237706713,1,63.1,6.3,823.4,23.3,44.5,0.7,184.3,0.5
PAO090322,1237706713,4,66.6,5.3,816.2,6.0,43.6,0.2,184.7,0.3
PAO150912,1442031373,4,61.4,5.8,812.9,14.1,76.7,0.1,253.2,0.1
PAO080703a,1215079559,1,55.7,4.8,772.3,13.3,54.0,0.3,55.0,0.8
PAO080703a,1215079559,4,60.6,5.2,799.7,24.2,53.9,0.6,53.6,0.4
PAO110527,1306477330,1,55.4,5.2,781.7,19.6,43.3,0.7,143.5,0.5
PAO071111,1194752186,4,52.9,6.2,782.3,62.2,76.5,0.4,70.8,3.0
PAO060329,1143597705,1,60.9,4.8,744.3,4.2,26.0,0.1,184.5,0.7
PAO110627,1309151423,3,51.5,4.2,730.0,13.7,42.2,0.5,157.4,0.3
PAO110627,1309151423,4,55.8,4.4,727.4,5.3,42.4,0.1,157.9,0.6
PAO080703b,1215062936,4,56.3,4.6,771.3,8.6,49.9,0.2,175.9,0.4
